NAME,B25064_001E,B25070_010E,state,county,year
"Santa Cruz County, California",1482,12739,06,087,2016
"Trinity County, California",750,464,06,105,2016
"Los Angeles County, California",1264,544541,06,037,2016
"Riverside County, California",1212,73634,06,065,2016
"San Bernardino County, California",1144,75140,06,071,2016
"Santa Clara County, California",1813,62139,06,085,2016
"Marin County, California",1764,10061,06,041,2016
"Placer County, California",1339,10326,06,061,2016
"Siskiyou County, California",828,2030,06,093,2016
"Shasta County, California",945,7457,06,089,2016
"Solano County, California",1337,16448,06,095,2016
"Del Norte County, California",818,960,06,015,2016
"Glenn County, California",750,1004,06,021,2016
"Butte County, California",936,11534,06,007,2016
"Plumas County, California",846,548,06,063,2016
"San Luis Obispo County, California",1257,11940,06,079,2016
"Kern County, California",905,30411,06,029,2016
"Ventura County, California",1572,26718,06,111,2016
"Calaveras County, California",1120,984,06,009,2016
"San Mateo County, California",1830,25688,06,081,2016
"Tuolumne County, California",936,1738,06,109,2016
"Amador County, California",1061,1025,06,005,2016
"Lake County, California",882,3031,06,033,2016
"Modoc County, California",681,218,06,049,2016
"Inyo County, California",829,513,06,027,2016
"Santa Barbara County, California",1423,19726,06,083,2016
"Imperial County, California",778,5571,06,025,2016
"Alameda County, California",1432,66689,06,001,2016
"Napa County, California",1442,4069,06,055,2016
"San Francisco County, California",1632,45811,06,075,2016
"Colusa County, California",896,432,06,011,2016
"Kings County, California",889,4851,06,031,2016
"Fresno County, California",901,43529,06,019,2016
"Orange County, California",1608,122448,06,059,2016
"Sutter County, California",941,3001,06,101,2016
"San Joaquin County, California",1057,27776,06,077,2016
"Merced County, California",882,9343,06,047,2016
"Mariposa County, California",820,527,06,043,2016
"Yuba County, California",918,2605,06,115,2016
"Contra Costa County, California",1506,34912,06,013,2016
"Lassen County, California",919,786,06,035,2016
"Stanislaus County, California",1005,20701,06,099,2016
"Sonoma County, California",1380,20854,06,097,2016
"Tehama County, California",781,1906,06,103,2016
"Mono County, California",1107,189,06,051,2016
"San Benito County, California",1316,1465,06,069,2016
"Sacramento County, California",1065,65289,06,067,2016
"El Dorado County, California",1105,4040,06,017,2016
"Monterey County, California",1275,15523,06,053,2016
"Sierra County, California",961,33,06,091,2016
"Merced County, California",934,9169,06,047,2017
"Lake County, California",914,2541,06,033,2017
"Mariposa County, California",869,610,06,043,2017
"Modoc County, California",739,227,06,049,2017
"Yuba County, California",923,2608,06,115,2017
"Contra Costa County, California",1600,33841,06,013,2017
"Inyo County, California",875,519,06,027,2017
